APOE_group,Variable,Value
APOE4_4,n,770
APOE4_4,Age_baseline_mean,54.2
APOE4_4,Age_baseline_sd,7.26
APOE4_4,Age_baseline_median,55
APOE4_4,Age_baseline_min,40
APOE4_4,Age_baseline_max,69
APOE4_4,Age_imaging_mean,63.1
APOE4_4,Age_imaging_sd,7.30
APOE4_4,Age_imaging_median,64
APOE4_4,Age_imaging_min,47
APOE4_4,Age_imaging_max,80
APOE4_4,British_pct,94.16
APOE4_4,Other_pct,5.84
APOE4_4,Male_pct,54.55
APOE4_4,Female_pct,45.45
APOE4_4,Dementia_pct,0
APOE4_4,Not_dementia_pct,100
APOE4_4,Father_AD_pct,16.62
APOE4_4,Mother_AD_pct,28.96
APOE4_4,Sibling_AD_pct,3.51
APOE4_4,Living_with_partner_pct,79.35
APOE4_4,Not_living_with_partner_pct,8.44
APOE4_4,College_degree_pct,48.7
APOE4_4,No_college_degree_pct,45.45
APOE4_4,Townsend_above_pct,39.87
APOE4_4,Townsend_below_pct,60.13
APOE4_4,Not_current_smoking_pct,95.06
APOE4_4,Current_smoking_pct,4.94
APOE4_4,Regular_physical_activity_pct,76.1
APOE4_4,No_physical_activity_pct,23.64
APOE4_4,Healthy_diet_pct,52.99
APOE4_4,Unhealthy_diet_pct,47.01
APOE4_4,Excessive_alcohol_pct,26.36
APOE4_4,Moderate_alcohol_pct,62.99
APOE4_4,Not_current_drinking_pct,10.65
APOE4_4,Sleep_6_8h_pct,44.42
APOE4_4,Sleep_not_6_8h_pct,55.32
APOE3_3,n,20770
APOE3_3,Age_baseline_mean,54.9
APOE3_3,Age_baseline_sd,7.46
APOE3_3,Age_baseline_median,55
APOE3_3,Age_baseline_min,40
APOE3_3,Age_baseline_max,70
APOE3_3,Age_imaging_mean,63.8
APOE3_3,Age_imaging_sd,7.55
APOE3_3,Age_imaging_median,64
APOE3_3,Age_imaging_min,45
APOE3_3,Age_imaging_max,81
APOE3_3,British_pct,91.87
APOE3_3,Other_pct,8.13
APOE3_3,Male_pct,47.8
APOE3_3,Female_pct,52.2
APOE3_3,Dementia_pct,0
APOE3_3,Not_dementia_pct,100
APOE3_3,Father_AD_pct,8.49
APOE3_3,Mother_AD_pct,16.03
APOE3_3,Sibling_AD_pct,1.26
APOE3_3,Living_with_partner_pct,77.4
APOE3_3,Not_living_with_partner_pct,7.32
APOE3_3,College_degree_pct,46.49
APOE3_3,No_college_degree_pct,46.39
APOE3_3,Townsend_above_pct,42.13
APOE3_3,Townsend_below_pct,57.78
APOE3_3,Not_current_smoking_pct,93.56
APOE3_3,Current_smoking_pct,6.23
APOE3_3,Regular_physical_activity_pct,75.07
APOE3_3,No_physical_activity_pct,24.28
APOE3_3,Healthy_diet_pct,48.79
APOE3_3,Unhealthy_diet_pct,51.17
APOE3_3,Excessive_alcohol_pct,28.13
APOE3_3,Moderate_alcohol_pct,60.98
APOE3_3,Not_current_drinking_pct,10.84
APOE3_3,Sleep_6_8h_pct,43.41
APOE3_3,Sleep_not_6_8h_pct,56.36
APOE2_2,n,202
APOE2_2,Age_baseline_mean,54.7
APOE2_2,Age_baseline_sd,7.67
APOE2_2,Age_baseline_median,55
APOE2_2,Age_baseline_min,40
APOE2_2,Age_baseline_max,69
APOE2_2,Age_imaging_mean,63.7
APOE2_2,Age_imaging_sd,7.88
APOE2_2,Age_imaging_median,64
APOE2_2,Age_imaging_min,46
APOE2_2,Age_imaging_max,80
APOE2_2,British_pct,92.57
APOE2_2,Other_pct,7.43
APOE2_2,Male_pct,46.04
APOE2_2,Female_pct,53.96
APOE2_2,Dementia_pct,0.5
APOE2_2,Not_dementia_pct,99.5
APOE2_2,Father_AD_pct,9.41
APOE2_2,Mother_AD_pct,12.38
APOE2_2,Sibling_AD_pct,0.5
APOE2_2,Living_with_partner_pct,78.22
APOE2_2,Not_living_with_partner_pct,7.92
APOE2_2,College_degree_pct,43.56
APOE2_2,No_college_degree_pct,48.51
APOE2_2,Townsend_above_pct,39.11
APOE2_2,Townsend_below_pct,60.89
APOE2_2,Not_current_smoking_pct,95.05
APOE2_2,Current_smoking_pct,4.95
APOE2_2,Regular_physical_activity_pct,75.74
APOE2_2,No_physical_activity_pct,24.26
APOE2_2,Healthy_diet_pct,44.55
APOE2_2,Unhealthy_diet_pct,55.45
APOE2_2,Excessive_alcohol_pct,28.71
APOE2_2,Moderate_alcohol_pct,56.93
APOE2_2,Not_current_drinking_pct,14.36
APOE2_2,Sleep_6_8h_pct,44.06
APOE2_2,Sleep_not_6_8h_pct,55.94
APOE4_3,n,8130
APOE4_3,Age_baseline_mean,54.5
APOE4_3,Age_baseline_sd,7.38
APOE4_3,Age_baseline_median,55
APOE4_3,Age_baseline_min,40
APOE4_3,Age_baseline_max,70
APOE4_3,Age_imaging_mean,63.3
APOE4_3,Age_imaging_sd,7.47
APOE4_3,Age_imaging_median,64
APOE4_3,Age_imaging_min,46
APOE4_3,Age_imaging_max,81
APOE4_3,British_pct,92.68
APOE4_3,Other_pct,7.32
APOE4_3,Male_pct,45.97
APOE4_3,Female_pct,54.03
APOE4_3,Dementia_pct,0.02
APOE4_3,Not_dementia_pct,99.98
APOE4_3,Father_AD_pct,12.58
APOE4_3,Mother_AD_pct,22.82
APOE4_3,Sibling_AD_pct,2.35
APOE4_3,Living_with_partner_pct,77.43
APOE4_3,Not_living_with_partner_pct,7.74
APOE4_3,College_degree_pct,46.13
APOE4_3,No_college_degree_pct,47.42
APOE4_3,Townsend_above_pct,42.14
APOE4_3,Townsend_below_pct,57.77
APOE4_3,Not_current_smoking_pct,93.52
APOE4_3,Current_smoking_pct,6.27
APOE4_3,Regular_physical_activity_pct,74.72
APOE4_3,No_physical_activity_pct,24.56
APOE4_3,Healthy_diet_pct,49.43
APOE4_3,Unhealthy_diet_pct,50.49
APOE4_3,Excessive_alcohol_pct,28.86
APOE4_3,Moderate_alcohol_pct,59.98
APOE4_3,Not_current_drinking_pct,11.16
APOE4_3,Sleep_6_8h_pct,44.83
APOE4_3,Sleep_not_6_8h_pct,55.02
APOE2_3,n,4330
APOE2_3,Age_baseline_mean,55.0
APOE2_3,Age_baseline_sd,7.41
APOE2_3,Age_baseline_median,56
APOE2_3,Age_baseline_min,40
APOE2_3,Age_baseline_max,70
APOE2_3,Age_imaging_mean,63.8
APOE2_3,Age_imaging_sd,7.50
APOE2_3,Age_imaging_median,64
APOE2_3,Age_imaging_min,45
APOE2_3,Age_imaging_max,81
APOE2_3,British_pct,92.42
APOE2_3,Other_pct,7.58
APOE2_3,Male_pct,46.93
APOE2_3,Female_pct,53.07
APOE2_3,Dementia_pct,0.05
APOE2_3,Not_dementia_pct,99.95
APOE2_3,Father_AD_pct,8.43
APOE2_3,Mother_AD_pct,15.13
APOE2_3,Sibling_AD_pct,1.18
APOE2_3,Living_with_partner_pct,77.04
APOE2_3,Not_living_with_partner_pct,7.16
APOE2_3,College_degree_pct,45.68
APOE2_3,No_college_degree_pct,47.02
APOE2_3,Townsend_above_pct,40.53
APOE2_3,Townsend_below_pct,59.31
APOE2_3,Not_current_smoking_pct,93.79
APOE2_3,Current_smoking_pct,6.07
APOE2_3,Regular_physical_activity_pct,75.4
APOE2_3,No_physical_activity_pct,24.09
APOE2_3,Healthy_diet_pct,47.64
APOE2_3,Unhealthy_diet_pct,52.31
APOE2_3,Excessive_alcohol_pct,28.75
APOE2_3,Moderate_alcohol_pct,60.28
APOE2_3,Not_current_drinking_pct,10.95
APOE2_3,Sleep_6_8h_pct,41.8
APOE2_3,Sleep_not_6_8h_pct,57.9
APOE4_2,n,833
APOE4_2,Age_baseline_mean,54.8
APOE4_2,Age_baseline_sd,7.55
APOE4_2,Age_baseline_median,55
APOE4_2,Age_baseline_min,40
APOE4_2,Age_baseline_max,70
APOE4_2,Age_imaging_mean,63.7
APOE4_2,Age_imaging_sd,7.63
APOE4_2,Age_imaging_median,64
APOE4_2,Age_imaging_min,47
APOE4_2,Age_imaging_max,80
APOE4_2,British_pct,94.72
APOE4_2,Other_pct,5.28
APOE4_2,Male_pct,44.9
APOE4_2,Female_pct,55.1
APOE4_2,Dementia_pct,0
APOE4_2,Not_dementia_pct,100
APOE4_2,Father_AD_pct,12.36
APOE4_2,Mother_AD_pct,22.69
APOE4_2,Sibling_AD_pct,2.4
APOE4_2,Living_with_partner_pct,74.91
APOE4_2,Not_living_with_partner_pct,8.88
APOE4_2,College_degree_pct,47.78
APOE4_2,No_college_degree_pct,44.9
APOE4_2,Townsend_above_pct,40.1
APOE4_2,Townsend_below_pct,59.9
APOE4_2,Not_current_smoking_pct,94.12
APOE4_2,Current_smoking_pct,5.64
APOE4_2,Regular_physical_activity_pct,72.39
APOE4_2,No_physical_activity_pct,26.89
APOE4_2,Healthy_diet_pct,47.78
APOE4_2,Unhealthy_diet_pct,52.22
APOE4_2,Excessive_alcohol_pct,25.93
APOE4_2,Moderate_alcohol_pct,63.51
APOE4_2,Not_current_drinking_pct,10.56
APOE4_2,Sleep_6_8h_pct,45.62
APOE4_2,Sleep_not_6_8h_pct,54.14
Total,n,35035
Total,Age_baseline_mean,54.8
Total,Age_baseline_sd,7.44
Total,Age_baseline_median,55
Total,Age_baseline_min,40
Total,Age_baseline_max,70
Total,Age_imaging_mean,63.6
Total,Age_imaging_sd,7.53
Total,Age_imaging_median,64
Total,Age_imaging_min,45
Total,Age_imaging_max,81
Total,British_pct,92.25
Total,Other_pct,7.75
Total,Male_pct,47.14
Total,Female_pct,52.86
Total,Dementia_pct,0.02
Total,Not_dementia_pct,99.98
Total,Father_AD_pct,9.71
Total,Mother_AD_pct,17.91
Total,Sibling_AD_pct,1.57
Total,Living_with_partner_pct,77.35
Total,Not_living_with_partner_pct,7.46
Total,College_degree_pct,46.37
Total,No_college_degree_pct,46.66
Total,Townsend_above_pct,41.82
Total,Townsend_below_pct,58.09
Total,Not_current_smoking_pct,93.63
Total,Current_smoking_pct,6.17
Total,Regular_physical_activity_pct,75
Total,No_physical_activity_pct,24.37
Total,Healthy_diet_pct,48.84
Total,Unhealthy_diet_pct,51.11
Total,Excessive_alcohol_pct,28.29
Total,Moderate_alcohol_pct,60.74
Total,Not_current_drinking_pct,10.93
Total,Sleep_6_8h_pct,43.62
Total,Sleep_not_6_8h_pct,56.16
